This experiments fix wrong packer namePacker names: ['yodaC']
File name: accesschk.exe
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Hasher.exe, end-of-unpacking: a0x004a7942ret, predicted-end-of-unpacking: a0x004a7942ret, score: 0.9816887160750492
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: PsGetsid.exe, end-of-unpacking: a0x0044a942ret, predicted-end-of-unpacking: a0x0044a942ret, score: 0.9871111977723375
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: md5v11.exe, end-of-unpacking: a0x0046d942ret, predicted-end-of-unpacking: a0x0046d942ret, score: 0.9755047430269023
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Clockres.exe, end-of-unpacking: a0x00423942ret, predicted-end-of-unpacking: a0x00423942ret, score: 0.9834058118047251
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: efsdump.exe, end-of-unpacking: a0x00424942ret, predicted-end-of-unpacking: a0x00424942ret, score: 0.984152277120566
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: InstalledPackagesView.exe, end-of-unpacking: a0x00419942ret, predicted-end-of-unpacking: a0x00419942ret, score: 0.9864294708887684
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: movefile.exe, end-of-unpacking: a0x00423942ret, predicted-end-of-unpacking: a0x00423942ret, score: 0.9858065033565603
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Tcpview.exe, end-of-unpacking: a0x0044d942ret, predicted-end-of-unpacking: a0x0044d942ret, score: 0.9815151033538594
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: pspasswd.exe, end-of-unpacking: a0x00427942ret, predicted-end-of-unpacking: a0x00427942ret, score: 0.9863068853814067
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: md5v11026.exe, end-of-unpacking: a0x00460942ret, predicted-end-of-unpacking: a0x00460942ret, score: 0.9844167616669012
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: RAMMap.exe, end-of-unpacking: a0x0049e942ret, predicted-end-of-unpacking: a0x0049e942ret, score: 0.9845621692458942
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: md5v12005.exe, end-of-unpacking: a0x00481942ret, predicted-end-of-unpacking: a0x00481942ret, score: 0.9856215040059372
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: ADExplorer.exe, end-of-unpacking: a0x00478942ret, predicted-end-of-unpacking: a0x00478942ret, score: 0.982353544469666
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: notmyfaultc.exe, end-of-unpacking: a0x0043f942ret, predicted-end-of-unpacking: a0x0043f942ret, score: 0.983661454268217
Final decision: True, Packer: yodaC, packer_identification: yodaC, file_name: Dbgview.exe, end-of-unpacking: a0x00489942ret, predicted-end-of-unpacking: a0x00489942ret, score: 0.986442749168516
The accuracy of packer: yodaC is 1.0
